r,n_r,j,k,in_window_d0.5,in_window_d1,w,abs_D,arg_D,abs_H,arg_H,arg_DH,abs_term,term_re,term_im
32,10,9,1,1,1,5.4946064158478266e-06,0.11471079270810389,1.2100739024330371,0.7011993439449825,2.205304959176606,-2.867806445569943,4.419593955904051e-07,-4.2549821575197015e-07,-1.1949634196294924e-07
32,10,10,0,1,1,2.551067264500777e-07,0.0652347515853448,1.3973227125202639,1.0,-2.250467531081731,-0.8531448185614671,1.6641823927721327e-08,1.0943950413787014e-08,-1.2537154899810766e-08
33,11,0,11,1,1,0.291386435459039,0.9999999999999998,0.31512889272119843,0.9537639255770314,0.2995720078301666,0.614700900551365,0.27791387054331124,0.22704061886517218,0.16027687551759917
33,11,1,10,1,1,0.3287436707743004,0.9975954207533365,0.39509996627583965,0.9212316797933814,0.4661575448391535,0.8612575111149933,0.30212085942647615,0.19682689302408762,0.22920773957935392
33,11,2,9,1,1,0.21627873077256604,0.9874829901604438,0.5240744448890677,0.8675208937335688,0.741387476903618,1.2654619217926857,0.1852777973491236,0.05569675322968088,0.17670804698772197
33,11,3,8,1,1,0.1052166798353024,0.95064455661289,0.7335227583594347,0.7836198665757744,1.2037665985720587,1.9372893569314935,0.07838053019916318,-0.028087159091636782,0.07317526227122806
33,11,4,7,1,1,0.04091759771372871,0.8351820771048222,1.055428692598929,0.664069626420112,1.9948989944952378,3.0503276870941667,0.022693679169642354,-0.02259923358825692,0.0020682638801805256
33,11,5,6,1,1,0.013093631268393188,0.5968029957733548,1.4333937165162012,0.5166149331535217,-2.908772171058775,-1.4753784545425739,0.004036993560564575,0.0003846170864326157,-0.004018629953711082
33,11,6,5,1,1,0.003465961218104079,0.33934220705238705,1.6510090771824324,0.35740631977646853,-0.4512456712589429,1.1997634059234896,0.00042036234552087333,0.00015241424749725188,0.0003917580869511906
33,11,7,4,1,1,0.0007502080558666838,0.25353658096545717,1.2394882947620762,0.3815696297076948,-1.9343253975686003,-0.6948371028065242,7.257652219864303e-05,5.575023676265046e-05,-4.646786712727993e-05
33,11,8,3,1,1,0.00012894200960208627,0.14317193728333336,0.8115571960160283,0.4007687895352607,1.6520175631899086,2.4635747592059367,7.398543454063893e-06,-5.762115299117241e-06,4.640740514330736e-06
33,11,9,2,1,1,1.6637678658333713e-05,0.11471079270810389,1.2100739024330371,0.4823830243653744,2.3722098957885547,-2.700901508957995,9.206382804838114e-07,-8.326777937578961e-07,-3.9271177124536516e-07
33,11,10,1,1,1,1.4419321503889218e-06,0.0652347515853448,1.3973227125202639,0.505984377192063,-2.1116136390321896,-0.7142909265119257,4.7594957785429306e-08,3.596074789113424e-08,-3.1178592298355656e-08
33,11,11,0,1,1,6.328228873180221e-08,0.04242031885506562,0.8518718614981986,1.0000000000000002,1.78287161217178,2.6347434736699786,2.6844548658813765e-09,-2.3469607214464538e-09,1.303101415447677e-09
34,11,0,11,1,1,0.30143424357831616,0.9999999999999998,0.31512889272119843,0.9592842244130965,0.28217145865350174,0.5973003513747002,0.2891611145625734,0.23909487486648945,0.16262776819364963
34,11,1,10,1,1,0.3315776679361478,0.9975954207533365,0.39509996627583965,0.9290836169087363,0.44503087927341045,0.8401308455492501,0.30732261620445017,0.20509647666329617,0.22887250968836295
34,11,2,9,1,1,0.2125497871385563,0.9874829901604438,0.5240744448890677,0.8781897600012372,0.7161669943806814,1.2402414392697492,0.18432263343314514,0.05982521477013185,0.17434384667500372
34,11,3,8,1,1,0.1006814781182635,0.95064455661289,0.7335227583594347,0.7971383732482189,1.1743894021617063,1.9079121605211409,0.0762959464242434,-0.025236154428695874,0.07200144408567118
34,11,4,7,1,1,0.03809569442312673,0.8351820771048222,1.055428692598929,0.6795792568333184,1.9618184725004109,3.0172471650993398,0.021622065295480095,-0.02145512253476394,0.0026816831767136674
34,11,5,6,1,1,0.011851993820528315,0.5968029957733548,1.4333937165162012,0.53234266948696,-2.9441023927118803,-1.510708676195679,0.0037654222883032984,0.0002261192532492553,-0.0037586267562184526
34,11,6,5,1,1,0.0030476555538501383,0.33934220705238705,1.6510090771824324,0.3718748029485482,-0.48664669690459583,1.1643623802778367,0.00038459223769568053,0.00015204327168599034,0.00035326198894133936
34,11,7,4,1,1,0.000640263771817256,0.25353658096545717,1.2394882947620762,0.3958910183952118,-1.965441865238402,-0.7259535704763259,6.426510288329666e-05,4.806173269206777e-05,-4.266231708706094e-05
