r,n_r,m,N_paths_log10,G_re,G_im,abs_G,r_abs_G,abs_Gmix_minus_G,tri_full,r_tri_full,abs_D_at_0,max_absH_all_j,argmax_absH_all_j,argmax_absterm_all_j,L_d0.5,jmax_d0.5,S_d0.5,r_S_d0.5,max_absH_window_d0.5,min_absH_window_d0.5,trunc_bound_d0.5,abs_signed_trunc_d0.5,abs_signed_trunc_minus_G_d0.5,weight_in_window_d0.5,ratio_S_over_absG_d0.5,ratio_full_over_S_d0.5,L_d1,jmax_d1,S_d1,r_S_d1,max_absH_window_d1,min_absH_window_d1,trunc_bound_d1,abs_signed_trunc_d1,abs_signed_trunc_minus_G_d1,weight_in_window_d1,ratio_S_over_absG_d1,ratio_full_over_S_d1,seconds
24,6,20,5.676711895323349,0.6791345431228797,0.6192261569747282,0.9190564515547525,22.057354837314058,2.482534153247273e-16,0.9751305841155417,23.403134018773,0.9999999999999998,0.9999999999999998,6,0,20,6,0.9751305841155417,23.403134018773,0.9999999999999998,0.9168462101582218,0.034020690871988585,0.9190564515547528,2.482534153247273e-16,0.9999999999999999,1.0610127184961593,1.0,26,6,0.9751305841155417,23.403134018773,0.9999999999999998,0.9168462101582218,0.006944444444444444,0.9190564515547528,2.482534153247273e-16,0.9999999999999999,1.0610127184961593,1.0,0.0005372999876271933
25,6,21,5.773621908331415,0.6968446010286095,0.6091225529382215,0.9255391307128502,23.138478267821256,2.220446049250313e-16,0.9775862758804668,24.43965689701167,0.9999999999999998,0.9999999999999998,6,0,20,6,0.9775862758804668,24.43965689701167,0.9999999999999998,0.9197216586842396,0.032,0.9255391307128503,2.220446049250313e-16,1.0,1.0562344080768684,1.0,26,6,0.9775862758804668,24.43965689701167,0.9999999999999998,0.9197216586842396,0.0064,0.9255391307128503,2.220446049250313e-16,1.0,1.0562344080768684,1.0,0.0005828000139445066
26,7,22,6.527095531799293,0.6283452520797242,0.6337140617183202,0.8924187737999818,23.202888118799528,1.5700924586837752e-16,0.9616204564421748,25.002131867496544,0.9999999999999998,0.9999999999999999,7,0,20,7,0.9616204564421748,25.002131867496544,0.9999999999999999,0.7845695998164519,0.03017171309818216,0.892418773799982,1.5700924586837752e-16,1.0,1.0775439565749243,1.0,27,7,0.9616204564421748,25.002131867496544,0.9999999999999999,0.7845695998164519,0.005917159763313609,0.892418773799982,1.5700924586837752e-16,1.0,1.0775439565749243,1.0,0.000611600000411272
27,7,23,6.630636123706362,0.6489508483213535,0.6248111470455,0.9008474748864637,24.32288182193452,1.5700924586837752e-16,0.9655196028545607,26.069029277073138,0.9999999999999998,1.0,7,0,20,7,0.9655196028545607,26.069029277073138,1.0,0.7926079901670154,0.028511124404425964,0.9008474748864638,1.5700924586837752e-16,1.0,1.071790319417,1.0,27,7,0.9655196028545607,26.069029277073138,1.0,0.7926079901670154,0.0054869684499314125,0.9008474748864638,1.5700924586837752e-16,1.0,1.071790319417,1.0,0.0005827000131830573
28,8,24,7.371729333947963,0.5801906335015887,0.641399392445718,0.8648782294824577,24.216590425508816,2.482534153247273e-16,0.9448136596574804,26.45478247040945,0.9999999999999998,0.9999999999999997,8,1,21,8,0.9448136596574804,26.45478247040945,0.9999999999999997,0.6310337248235042,0.026997462357801944,0.8648782294824581,2.482534153247273e-16,1.0,1.0924239129280153,1.0,27,8,0.9448136596574804,26.45478247040945,0.9999999999999997,0.6310337248235042,0.00510204081632653,0.8648782294824581,2.482534153247273e-16,1.0,1.0924239129280153,1.0,0.0006568999961018562
29,8,25,7.480873803373037,0.6030246207582458,0.6341539126308129,0.8750942110113601,25.377732119329444,3.3306690738754696e-16,0.9504021126934831,27.56166126811101,0.9999999999999998,0.9999999999999998,8,0,21,8,0.9504021126934831,27.56166126811101,0.9999999999999998,0.6430559456585899,0.025613150093386463,0.8750942110113603,3.3306690738754696e-16,1.0,1.086056907627224,1.0,28,8,0.9504021126934831,27.56166126811101,0.9999999999999998,0.6430559456585899,0.0047562425683709865,0.8750942110113603,3.3306690738754696e-16,1.0,1.086056907627224,1.0,0.0006816000095568597
30,9,26,8.21221861671856,0.5355284043848323,0.6436952633982014,0.8373376045683392,25.120128137050173,1.1102230246251565e-16,0.9255326234302242,27.76597870290673,0.9999999999999998,0.9999999999999997,9,1,21,9,0.9255326234302242,27.76597870290673,0.9999999999999997,0.5190060092841398,0.024343224778007384,0.8373376045683392,1.1102230246251565e-16,0.9999999999999998,1.1053279088156456,1.0,28,9,0.9255326234302242,27.76597870290673,0.9999999999999997,0.5190060092841398,0.0044444444444444444,0.8373376045683392,1.1102230246251565e-16,0.9999999999999998,1.1053279088156456,1.0,0.0008400000224355608
31,10,27,8.928221960353346,0.46682080124668823,0.6446452023300733,0.7959202832971284,24.67352878221098,5.551115123125783e-17,0.8943266375855261,27.72412576515131,0.9999999999999998,1.0,10,1,21,10,0.8943266375855261,27.72412576515131,1.0,0.420627305320255,0.02317487768087418,0.7959202832971285,5.551115123125783e-17,1.0,1.1236384551989878,1.0,28,10,0.8943266375855261,27.72412576515131,1.0,0.420627305320255,0.004162330905306972,0.7959202832971285,5.551115123125783e-17,1.0,1.1236384551989878,1.0,0.0007898999901954085
32,10,28,9.049644123238817,0.49470701386906607,0.6418943614168446,0.8104094031969195,25.933100902301423,2.7755575615628914e-16,0.9046555095227696,28.948976304728628,0.9999999999999998,1.0,10,1,21,10,0.9046555095227696,28.948976304728628,1.0,0.43546239372698886,0.02209708691207961,0.8104094031969197,2.7755575615628914e-16,0.9999999999999999,1.116294438285225,1.0,28,10,0.9046555095227696,28.948976304728628,1.0,0.43546239372698886,0.00390625,0.8104094031969197,2.7755575615628914e-16,0.9999999999999999,1.116294438285225,1.0,0.0007192000048235059
33,11,29,9.75981920573818,0.42946409283043363,0.6377670666554485,0.7688863624365844,25.373249960407286,2.482534153247273e-16,0.8709250385771479,28.74052627304588,0.9999999999999998,1.0000000000000002,11,1,22,11,0.8709250385771479,28.74052627304588,1.0000000000000002,0.35740631977646853,0.02110032193402398,0.7688863624365846,2.482534153247273e-16,1.0,1.1327096969403971,1.0,29,11,0.8709250385771479,28.74052627304588,1.0000000000000002,0.35740631977646853,0.0036730945821854912,0.7688863624365846,2.482534153247273e-16,1.0,1.1327096969403971,1.0,0.0007817999867256731
